type,resources,fc,ds,ead,first_cpt,base_cost,zipcode,sc,index,optimal_flow
amzl_direct,['j15' 'j6'],LGB3,DSD1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r0,3.424561404619297
amzl_direct,['j26' 'j6'],LGB7,DSD1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r1,0.0
amzl_direct,['j0' 'j5'],BFL1,DPS3,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r2,0.0
amzl_direct,['j12' 'j3'],LGB3,DLA5,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r3,0.0
amzl_direct,['j25' 'j4'],LGB7,DPS1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r4,0.0
amzl_direct,['j13' 'j4'],LGB3,DPS1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r5,0.0
amzl_direct,['j34' 'j6'],ONT6,DSD1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r6,0.0
amzl_direct,['j27' 'j7'],LGB7,DSD2,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r7,0.0
amzl_direct,['j14' 'j5'],LGB3,DPS3,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r8,0.0
amzl_direct,['j78' 'j57'],LGB7,DPS1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r9,118.29704958490059
amzl_direct,['j67' 'j58'],LGB3,DPS3,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r10,27.711926359361595
amzl_direct,['j80' 'j60'],LGB7,DSD2,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r11,12.500898343242836
amzl_direct,['j87' 'j59'],ONT6,DSD1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r12,15.847619049799503
amzl_direct,['j68' 'j59'],LGB3,DSD1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r13,131.8456140352843
amzl_direct,['j66' 'j57'],LGB3,DPS1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r14,172.39107135860118
amzl_direct,['j53' 'j58'],BFL1,DPS3,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r15,41.58376284152817
amzl_direct,['j65' 'j56'],LGB3,DLA5,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r16,101.63007518403268
amzl_direct,['j79' 'j59'],LGB7,DSD1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r17,45.538986817969125
amzl_indirect,['j29' 'j22' 'j18' 'j3'],LGB7,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r18,6.764813514291596e-09
amzl_indirect,['j29' 'j22' 'j20' 'j5'],LGB7,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r19,12.479466513144326
amzl_indirect,['j29' 'j22' 'j19' 'j4'],LGB7,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r20,54.442794776868226
amzl_indirect,['j42' 'j51' 'j18' 'j3'],ONT2,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r21,2.1210370519987632e-08
amzl_indirect,['j42' 'j51' 'j49' 'j6'],ONT2,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r22,8.839622152191426
amzl_indirect,['j42' 'j51' 'j50' 'j7'],ONT2,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r23,3.119866631218944
amzl_indirect,['j43' 'j51' 'j18' 'j3'],ONT6,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r24,2.5998889234692224
amzl_indirect,['j43' 'j51' 'j49' 'j6'],ONT6,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r25,7.799666639905308
amzl_indirect,['j43' 'j51' 'j50' 'j7'],ONT6,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r26,3.6398444364263174
amzl_indirect,['j45' 'j51' 'j18' 'j3'],PSP1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r27,2.0181707055062393e-08
amzl_indirect,['j45' 'j51' 'j49' 'j6'],PSP1,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r28,37.9583771964911
amzl_indirect,['j45' 'j51' 'j50' 'j7'],PSP1,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r29,11.439510927336126
