fc,ds,zipcode,dimension,promise,3p_variable_cost,ddu_variable_cost,AMZL_variable_cost,feasible_routes,units,arrival,amzl_optimal_flow,ddu_optimal_flow,3p_optimal_flow,optimal_flows_on_each_route
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,['r47' 'r92' 'r369' 'r4048' 'r5248'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r369': 0.0, 'r4048': 0.0, 'r5248': 0.0}"
BFL1,DPS1,90026,dim1,2021-05-12 23:59:59,3.08,not_defined,0,['r92' 'r369' 'r5248'],6.315812559397616,2021-05-11 05:00:00,6.315812534493577,1.0750703358365733e-09,2.382893920848767e-08,"{'r92': 6.315812534493577, 'r369': 2.382893920848767e-08, 'r5248': 1.0750703358365733e-09}"
BFL1,DPS1,90027,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r47' 'r92' 'r370' 'r4049' 'r5249'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r370': 0.0, 'r4049': 0.0, 'r5249': 0.0}"
BFL1,DPS1,90027,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r92' 'r370' 'r5249'],5.684231303457855,2021-05-11 05:00:00,5.6842312602823215,1.0680975918014239e-09,4.210746632690587e-08,"{'r92': 5.6842312602823215, 'r370': 4.210746632690587e-08, 'r5249': 1.0680975918014239e-09}"
BFL1,DPS1,90028,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r47' 'r92' 'r371' 'r4050' 'r5250'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r371': 0.0, 'r4050': 0.0, 'r5250': 0.0}"
BFL1,DPS1,90028,dim1,2021-05-12 23:59:59,3.05,not_defined,0,['r92' 'r371' 'r5250'],3.157906279698808,2021-05-11 05:00:00,3.157906236536889,1.054419987717118e-09,4.210749573536729e-08,"{'r92': 3.157906236536889, 'r371': 4.210749573536729e-08, 'r5250': 1.054419987717118e-09}"
BFL1,DPS1,90029,dim1,2021-05-12 23:59:59,3.07,not_defined,0,['r47' 'r92' 'r372' 'r4051' 'r5251'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r372': 0.0, 'r4051': 0.0, 'r5251': 0.0}"
BFL1,DPS1,90029,dim1,2021-05-12 23:59:59,3.07,not_defined,0,['r92' 'r372' 'r5251'],1.894743767819285,2021-05-11 05:00:00,1.8947437388909103,1.0680976387367239e-09,2.7860278386357868e-08,"{'r92': 1.8947437388909103, 'r372': 2.7860278386357868e-08, 'r5251': 1.0680976387367239e-09}"
BFL1,DPS1,90031,dim1,2021-05-12 23:59:59,3.09,not_defined,0,['r47' 'r92' 'r373' 'r4052' 'r5252'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r373': 0.0, 'r4052': 0.0, 'r5252': 0.0}"
BFL1,DPS1,90031,dim1,2021-05-12 23:59:59,3.09,not_defined,0,['r92' 'r373' 'r5252'],2.5263250237590467,2021-05-11 05:00:00,2.5263250018456924,1.0965457529585171e-09,2.0816813877873765e-08,"{'r92': 2.5263250018456924, 'r373': 2.0816813877873765e-08, 'r5252': 1.0965457529585171e-09}"
BFL1,DPS1,90032,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r47' 'r92' 'r374' 'r4053' 'r5253'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r374': 0.0, 'r4053': 0.0, 'r5253': 0.0}"
BFL1,DPS1,90032,dim1,2021-05-12 23:59:59,3.1,not_defined,0,['r92' 'r374' 'r5253'],3.78948753563857,2021-05-11 05:00:00,3.789487516038967,1.1188965825247128e-09,1.848071986296707e-08,"{'r92': 3.789487516038967, 'r374': 1.848071986296707e-08, 'r5253': 1.1188965825247128e-09}"
BFL1,DPS1,90033,dim1,2021-05-12 23:59:59,3.11,not_defined,0,['r47' 'r92' 'r375' 'r4054' 'r5254'],0.0,2021-05-11 00:00:00,0.0,0.0,0.0,"{'r47': 0.0, 'r92': 0.0, 'r375': 0.0, 'r4054': 0.0, 'r5254': 0.0}"
