type,resources,fc,ds,ead,first_cpt,base_cost,zipcode,sc,index,optimal_flow
amzl_direct,['j15' 'j6'],LGB3,DSD1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r0,32.533333333267
amzl_direct,['j26' 'j6'],LGB7,DSD1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r1,11.638095237654333
amzl_direct,['j0' 'j5'],BFL1,DPS3,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r2,10.327410612753875
amzl_direct,['j12' 'j3'],LGB3,DLA5,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r3,25.40751877583674
amzl_direct,['j25' 'j4'],LGB7,DPS1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r4,29.677843864207485
amzl_direct,['j13' 'j4'],LGB3,DPS1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r5,43.21550621393422
amzl_direct,['j34' 'j6'],ONT6,DSD1,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r6,3.941854639728391
amzl_direct,['j27' 'j7'],LGB7,DSD2,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r7,2.6857142856374696
amzl_direct,['j14' 'j5'],LGB3,DPS3,2021-05-11 20:00:01,2021-05-11 12:00:00,1.0,00000,,r8,7.4318268457884695
amzl_direct,['j78' 'j57'],LGB7,DPS1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r9,118.71137545543984
amzl_direct,['j67' 'j58'],LGB3,DPS3,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r10,27.869350671162653
amzl_direct,['j80' 'j60'],LGB7,DSD2,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r11,12.533333332884823
amzl_direct,['j87' 'j59'],ONT6,DSD1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r12,15.767418558523973
amzl_direct,['j68' 'j59'],LGB3,DSD1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r13,131.84561403471153
amzl_direct,['j66' 'j57'],LGB3,DPS1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r14,172.86202485327283
amzl_direct,['j53' 'j58'],BFL1,DPS3,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r15,41.30964245079822
amzl_direct,['j65' 'j56'],LGB3,DLA5,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r16,101.63007510325893
amzl_direct,['j79' 'j59'],LGB7,DSD1,2021-05-12 20:00:01,2021-05-12 12:00:00,1.0,00000,,r17,45.65714285527007
amzl_indirect,['j29' 'j22' 'j18' 'j3'],LGB7,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r18,5.978016364504311e-10
amzl_indirect,['j29' 'j22' 'j20' 'j5'],LGB7,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r19,20.788083801144257
amzl_indirect,['j29' 'j22' 'j19' 'j4'],LGB7,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r20,77.73263898432606
amzl_indirect,['j42' 'j51' 'j18' 'j3'],ONT2,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r21,2.189373566626856e-09
amzl_indirect,['j42' 'j51' 'j49' 'j6'],ONT2,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r22,16.999055546810194
amzl_indirect,['j42' 'j51' 'j50' 'j7'],ONT2,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r23,5.999666662211176
amzl_indirect,['j43' 'j51' 'j18' 'j3'],ONT6,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r24,1.6752567747194506e-09
amzl_indirect,['j43' 'j51' 'j49' 'j6'],ONT6,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r25,14.429839498556097
amzl_indirect,['j43' 'j51' 'j50' 'j7'],ONT6,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r26,6.893534260817472
amzl_indirect,['j45' 'j51' 'j18' 'j3'],PSP1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r27,1.959452016232152e-09
amzl_indirect,['j45' 'j51' 'j49' 'j6'],PSP1,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r28,70.74362972853734
amzl_indirect,['j45' 'j51' 'j50' 'j7'],PSP1,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r29,21.282544095898235
amzl_indirect,['j46' 'j51' 'j18' 'j3'],SMF1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r30,20.99883332236266
amzl_indirect,['j46' 'j51' 'j49' 'j6'],SMF1,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r31,19.998888873953536
amzl_indirect,['j46' 'j51' 'j50' 'j7'],SMF1,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r32,4.999722216460288
amzl_indirect,['j41' 'j51' 'j18' 'j3'],OAK4,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r33,15.999111106619926
amzl_indirect,['j41' 'j51' 'j49' 'j6'],OAK4,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r34,17.998999998457972
amzl_indirect,['j41' 'j51' 'j50' 'j7'],OAK4,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r35,5.999666666052632
amzl_indirect,['j47' 'j51' 'j18' 'j3'],TUS2,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r36,59.07994458138996
amzl_indirect,['j47' 'j51' 'j49' 'j6'],TUS2,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r37,7.937315776139598
amzl_indirect,['j47' 'j51' 'j50' 'j7'],TUS2,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r38,0.9921681898597291
amzl_indirect,['j17' 'j22' 'j18' 'j3'],LGB3,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r39,18.51918531216908
amzl_indirect,['j17' 'j22' 'j20' 'j5'],LGB3,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r40,27.38117920026058
amzl_indirect,['j17' 'j22' 'j19' 'j4'],LGB3,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r41,203.4596116617052
amzl_indirect,['j24' 'j22' 'j18' 'j3'],LGB6,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r42,6.264766072210335e-10
amzl_indirect,['j24' 'j22' 'j20' 'j5'],LGB6,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r43,0.0
amzl_indirect,['j24' 'j22' 'j19' 'j4'],LGB6,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r44,2.9998333331514573
amzl_indirect,['j2' 'j22' 'j18' 'j3'],BFL1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r45,31.814614349560497
amzl_indirect,['j2' 'j22' 'j20' 'j5'],BFL1,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r46,31.460412936648478
amzl_indirect,['j2' 'j22' 'j19' 'j4'],BFL1,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r47,68.21404159968135
amzl_indirect,['j44' 'j51' 'j18' 'j3'],PHX6,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r48,6.6378559153595855
amzl_indirect,['j44' 'j51' 'j49' 'j6'],PHX6,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r49,9.999444442841096
amzl_indirect,['j44' 'j51' 'j50' 'j7'],PHX6,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r50,4.9997222214084465
amzl_indirect,['j33' 'j22' 'j18' 'j3'],ONT2,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r51,3.08708231328479e-10
amzl_indirect,['j33' 'j22' 'j20' 'j5'],ONT2,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r52,6.99961110445067
amzl_indirect,['j33' 'j22' 'j19' 'j4'],ONT2,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r53,24.148451789200926
amzl_indirect,['j40' 'j51' 'j18' 'j3'],LGB7,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r54,4.586779690849499
amzl_indirect,['j40' 'j51' 'j49' 'j6'],LGB7,DSD1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r55,62.50976167975283
amzl_indirect,['j40' 'j51' 'j50' 'j7'],LGB7,DSD2,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r56,15.830162755848841
amzl_indirect,['j11' 'j22' 'j18' 'j3'],LAS7,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r57,44.25564820554045
amzl_indirect,['j11' 'j22' 'j20' 'j5'],LAS7,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r58,15.214963186710033
amzl_indirect,['j11' 'j22' 'j19' 'j4'],LAS7,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r59,65.68262060992814
amzl_indirect,['j9' 'j22' 'j18' 'j3'],FAT1,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r60,40.69451230265275
amzl_indirect,['j9' 'j22' 'j20' 'j5'],FAT1,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r61,15.835101770659769
amzl_indirect,['j9' 'j22' 'j19' 'j4'],FAT1,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r62,62.21850908601402
amzl_indirect,['j31' 'j22' 'j18' 'j3'],OAK4,DLA5,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r63,3.736000626002533e-10
amzl_indirect,['j31' 'j22' 'j20' 'j5'],OAK4,DPS3,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r64,1.5913143904886787e-09
amzl_indirect,['j31' 'j22' 'j19' 'j4'],OAK4,DPS1,2021-05-11 20:00:01,2021-05-11 05:00:00,1.0,00000,,r65,42.788817962216996
amzl_indirect,['j100' 'j104' 'j101' 'j56'],TUS2,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r66,209.8679524354673
amzl_indirect,['j100' 'j104' 'j102' 'j59'],TUS2,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r67,49.0622397779565
amzl_indirect,['j100' 'j104' 'j103' 'j60'],TUS2,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r68,21.007776254011784
amzl_indirect,['j70' 'j75' 'j101' 'j56'],LGB3,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r69,83.72560817788052
amzl_indirect,['j70' 'j75' 'j73' 'j58'],LGB3,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r70,124.31547661543355
amzl_indirect,['j70' 'j75' 'j72' 'j57'],LGB3,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r71,743.4494128225476
amzl_indirect,['j77' 'j75' 'j101' 'j56'],LGB6,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r72,3.5491724203517694e-10
amzl_indirect,['j77' 'j75' 'j73' 'j58'],LGB6,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r73,0.0
amzl_indirect,['j77' 'j75' 'j72' 'j57'],LGB6,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r74,61.69003159679313
amzl_indirect,['j97' 'j104' 'j101' 'j56'],PHX6,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r75,3.682475279781013e-09
amzl_indirect,['j97' 'j104' 'j102' 'j59'],PHX6,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r76,48.000000000097984
amzl_indirect,['j97' 'j104' 'j103' 'j60'],PHX6,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r77,16.00000000008863
amzl_indirect,['j64' 'j75' 'j101' 'j56'],LAS7,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r78,169.25814446620504
amzl_indirect,['j64' 'j75' 'j73' 'j58'],LAS7,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r79,65.7841479235022
amzl_indirect,['j64' 'j75' 'j72' 'j57'],LAS7,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r80,270.3135460514849
amzl_indirect,['j82' 'j75' 'j101' 'j56'],LGB7,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r81,1.1956248811337713e-09
amzl_indirect,['j82' 'j75' 'j73' 'j58'],LGB7,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r82,99.21058286201732
amzl_indirect,['j82' 'j75' 'j72' 'j57'],LGB7,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r83,294.8723082866285
amzl_indirect,['j84' 'j75' 'j101' 'j56'],OAK4,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r84,1.4220175859321692e-09
amzl_indirect,['j84' 'j75' 'j73' 'j58'],OAK4,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r85,3.5630314263878725e-09
amzl_indirect,['j84' 'j75' 'j72' 'j57'],OAK4,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r86,168.8423627761352
amzl_indirect,['j86' 'j75' 'j101' 'j56'],ONT2,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r87,7.52146353644381e-10
amzl_indirect,['j86' 'j75' 'j73' 'j58'],ONT2,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r88,30.000000002667512
amzl_indirect,['j86' 'j75' 'j72' 'j57'],ONT2,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r89,94.25027593670119
amzl_indirect,['j55' 'j75' 'j101' 'j56'],BFL1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r90,129.97891978899162
amzl_indirect,['j55' 'j75' 'j73' 'j58'],BFL1,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r91,89.90058955317265
amzl_indirect,['j55' 'j75' 'j72' 'j57'],BFL1,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r92,295.7819028380939
amzl_indirect,['j98' 'j104' 'j101' 'j56'],PSP1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r93,2.9102616211640065e-09
amzl_indirect,['j98' 'j104' 'j102' 'j59'],PSP1,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r94,285.25231471505725
amzl_indirect,['j98' 'j104' 'j103' 'j60'],PSP1,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r95,95.71623368151246
amzl_indirect,['j96' 'j104' 'j101' 'j56'],ONT6,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r96,3.106786171857963e-09
amzl_indirect,['j96' 'j104' 'j102' 'j59'],ONT6,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r97,58.860053969018246
amzl_indirect,['j96' 'j104' 'j103' 'j60'],ONT6,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r98,26.10607685000294
amzl_indirect,['j99' 'j104' 'j101' 'j56'],SMF1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r99,86.00000000526038
amzl_indirect,['j99' 'j104' 'j102' 'j59'],SMF1,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r100,89.00000001383947
amzl_indirect,['j99' 'j104' 'j103' 'j60'],SMF1,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r101,27.00000000527047
amzl_indirect,['j94' 'j104' 'j101' 'j56'],OAK4,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r102,58.358560571004226
amzl_indirect,['j94' 'j104' 'j102' 'j59'],OAK4,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r103,79.99999999981776
amzl_indirect,['j94' 'j104' 'j103' 'j60'],OAK4,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r104,24.999999999882903
amzl_indirect,['j93' 'j104' 'j101' 'j56'],LGB7,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r105,80.56543128978683
amzl_indirect,['j93' 'j104' 'j102' 'j59'],LGB7,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r106,199.19150022447855
amzl_indirect,['j93' 'j104' 'j103' 'j60'],LGB7,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r107,51.94990073554854
amzl_indirect,['j62' 'j75' 'j101' 'j56'],FAT1,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r108,153.90252613856924
amzl_indirect,['j62' 'j75' 'j73' 'j58'],FAT1,DPS3,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r109,63.16400933907299
amzl_indirect,['j62' 'j75' 'j72' 'j57'],FAT1,DPS1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r110,259.7779909075722
amzl_indirect,['j95' 'j104' 'j101' 'j56'],ONT2,DLA5,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r111,4.051820120161137e-09
amzl_indirect,['j95' 'j104' 'j102' 'j59'],ONT2,DSD1,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r112,72.00000000772759
amzl_indirect,['j95' 'j104' 'j103' 'j60'],ONT2,DSD2,2021-05-12 20:00:01,2021-05-12 05:00:00,1.0,00000,,r113,22.000000003825555
ddu,['j29' 'j22' 'j21'],LGB7,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r114,0.0
ddu,['j42' 'j51' 'j52'],ONT2,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r115,0.0
ddu,['j43' 'j51' 'j52'],ONT6,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r116,0.0
ddu,['j45' 'j51' 'j52'],PSP1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r117,0.0
ddu,['j46' 'j51' 'j52'],SMF1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r118,0.0
ddu,['j41' 'j51' 'j52'],OAK4,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r119,0.0
ddu,['j47' 'j51' 'j52'],TUS2,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r120,0.0
ddu,['j17' 'j22' 'j21'],LGB3,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r121,0.0
ddu,['j24' 'j22' 'j21'],LGB6,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r122,0.0
ddu,['j2' 'j22' 'j21'],BFL1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r123,0.0
ddu,['j44' 'j51' 'j52'],PHX6,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r124,0.0
ddu,['j33' 'j22' 'j21'],ONT2,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r125,0.0
ddu,['j40' 'j51' 'j52'],LGB7,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LAX5,r126,0.0
ddu,['j11' 'j22' 'j21'],LAS7,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r127,0.0
ddu,['j9' 'j22' 'j21'],FAT1,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r128,0.0
ddu,['j31' 'j22' 'j21'],OAK4,DLA5,2021-05-11 15:00:01,2021-05-11 05:00:00,2.08,00000,LGB5,r129,0.0
ddu,['j100' 'j104' 'j105'],TUS2,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r130,0.0
ddu,['j70' 'j75' 'j74'],LGB3,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r131,0.0
ddu,['j77' 'j75' 'j74'],LGB6,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r132,0.0
ddu,['j97' 'j104' 'j105'],PHX6,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r133,0.0
ddu,['j64' 'j75' 'j74'],LAS7,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r134,0.0
ddu,['j82' 'j75' 'j74'],LGB7,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r135,0.0
ddu,['j84' 'j75' 'j74'],OAK4,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r136,0.0
ddu,['j86' 'j75' 'j74'],ONT2,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r137,0.0
ddu,['j55' 'j75' 'j74'],BFL1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r138,0.0
ddu,['j98' 'j104' 'j105'],PSP1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r139,0.0
ddu,['j96' 'j104' 'j105'],ONT6,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r140,0.0
ddu,['j99' 'j104' 'j105'],SMF1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r141,0.0
ddu,['j94' 'j104' 'j105'],OAK4,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r142,0.0
ddu,['j93' 'j104' 'j105'],LGB7,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r143,0.0
ddu,['j62' 'j75' 'j74'],FAT1,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LGB5,r144,0.0
ddu,['j95' 'j104' 'j105'],ONT2,DLA5,2021-05-12 15:00:01,2021-05-12 05:00:00,2.08,00000,LAX5,r145,0.0
ddu,['j29' 'j22' 'j21'],LGB7,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LGB5,r146,0.0
ddu,['j42' 'j51' 'j52'],ONT2,DPS1,2021-05-11 15:00:01,2021-05-11 05:00:00,2.46,00000,LAX5,r147,0.0
