origin,destination,type,cpt,hard_or_soft,incremental_cost,index,cap,target,sigma,penalty_cost_coefficient,dual,excess_flow,optimal_flow,remaining_cap
ONT6,DSD1,fcds_resource,2021-05-11 12:00:00,soft,1.0,j34,4,3.2,0.4,0.49875,0.3700000015645453,0.7418546397975765,3.941854639728391,4
LGB7,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.53,j29,99,79.2,9.9,0.050983333333333325,0.9850348500890561,19.320722786996726,98.52072278682387,99
LGB6,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.53,j77,60,48.0,6.0,0.08412249999999999,1.1516396831070774,13.690031598073691,61.690031598062184,60
PHX6,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,5.29,j97,192,153.6,19.200000000000003,0.054966406249999995,3.16999999997617,57.671589180466285,211.27158918045785,192
LAS7,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,4.36,j11,130,104.0,13.0,0.06690923076923078,1.6800000021589385,25.108643199833818,129.10864319990557,130
LGB7,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.53,j82,396,316.8,39.6,0.012745833333333331,0.985034850138016,77.28289115175006,394.0828911517822,396
FAT1,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,4.26,j9,134,107.2,13.4,0.06342313432835821,1.9900002032703221,31.376566679413767,138.57656667927685,134
OAK4,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,5.36,j84,146,116.8,14.600000000000001,0.07324109589041096,3.8116396831013555,52.04236278502878,168.8423627851878,146
ONT2,LGB5,fcsc_resource,2021-05-12 05:00:00,soft,2.57,j86,119,95.2,11.9,0.04308529411764706,1.2516396832056707,29.05027594308338,124.25027594310694,119
LGB7,LAX5,fcsc_resource,2021-05-11 05:00:00,soft,2.53,j40,99,79.2,9.9,0.050983333333333325,0.18999979927923033,3.726704137663766,82.92670413756586,99
ONT2,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,2.57,j33,30,24.0,3.0,0.170905,1.221639689092122,7.148062895150704,31.148062895087,30
OAK4,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,5.36,j31,37,29.6,3.7,0.2890054054054054,3.8116396830012924,13.188817965727722,42.78881796568081,37
BFL1,LGB5,fcsc_resource,2021-05-11 05:00:00,soft,3.36,j2,141,112.8,14.100000000000001,0.04754042553191489,1.090000204761473,22.927859659793633,135.72785965955183,141
LGB7,LAX5,fcsc_resource,2021-05-12 05:00:00,soft,2.53,j93,396,316.8,39.6,0.012745833333333331,0.18999999991354216,14.906832291488003,331.70683229133937,396
